DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos_medicion.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 15/11/2021 10:58:40
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
11:04:16;000:00;006;0199,8;+20,8;0993;020,12;0000
11:04:16;000:00;008;0196,3;+17,7;0992;019,79;0000
11:04:16;000:00;009;0198,6;+18,8;0993;020,00;0000
11:04:18;000:01;004;0200,1;+20,0;0992;020,18;0000
11:04:18;000:02;005;0198,3;+20,8;0993;019,97;0000
11:04:18;000:02;006;0199,8;+20,8;0993;020,12;0000
11:04:18;000:02;008;0196,3;+17,7;0992;019,79;0000
11:04:18;000:02;009;0198,6;+18,8;0993;020,00;0000
11:04:20;000:04;004;0200,1;+20,0;0992;020,18;0000
11:04:20;000:04;005;0198,3;+20,8;0993;019,97;0000
11:04:20;000:04;006;0199,8;+20,7;0993;020,12;0000
11:04:20;000:04;008;0196,3;+17,7;0992;019,79;0000
11:04:20;000:04;009;0198,6;+18,8;0993;020,00;0000
11:04:22;000:06;004;0200,1;+20,0;0992;020,18;0000
11:04:22;000:06;005;0198,3;+20,8;0993;019,97;0000
11:04:22;000:06;006;0199,8;+20,8;0993;020,12;0000
11:04:22;000:06;008;0196,3;+17,7;0992;019,79;0000
11:04:22;000:06;009;0198,6;+18,9;0993;020,00;0000
11:04:54;000:00;002;0199,0;+19,4;0994;020,02;0000
11:04:54;000:00;003;0195,9;+17,7;0993;019,73;0000
11:04:55;000:00;004;0199,7;+20,0;0992;020,13;0000
11:04:55;000:00;005;0198,4;+20,8;0993;019,98;0000
11:04:55;000:00;009;0198,4;+19,1;0993;019,98;0000
11:04:55;000:01;002;0199,0;+19,4;0994;020,02;0000
11:04:55;000:01;003;0195,9;+17,6;0992;019,75;0000
11:04:56;000:01;004;0199,7;+20,0;0992;020,13;0000
11:04:56;000:01;005;0198,4;+20,8;0993;019,98;0000
11:04:56;000:01;009;0198,4;+19,2;0993;019,98;0000
11:04:57;000:03;002;0199,0;+19,4;0994;020,02;0000
11:04:57;000:03;003;0195,9;+17,7;0993;019,73;0000
11:04:58;000:03;004;0199,7;+20,0;0992;020,13;0000
11:04:58;000:03;005;0198,4;+20,8;0993;019,98;0000
11:04:58;000:03;009;0198,4;+19,2;0993;019,98;0000
11:04:59;000:05;002;0199,0;+19,5;0994;020,02;0000
11:05:00;000:05;003;0196,0;+17,7;0993;019,73;0000
11:05:00;000:05;004;0199,7;+20,0;0992;020,13;0000
11:05:00;000:05;005;0198,4;+20,8;0993;019,98;0000
11:05:00;000:05;009;0198,4;+19,2;0993;019,98;0000
11:05:09;000:01;001;0198,5;+20,5;0994;019,97;0000
11:05:09;000:01;002;0198,6;+19,5;0994;019,98;0000
11:05:09;000:01;003;0195,6;+17,8;0993;019,70;0000
11:05:09;000:01;004;0199,7;+20,0;0992;020,13;0000
11:05:09;000:01;005;0198,5;+20,8;0993;019,99;0000
11:05:09;000:01;009;0198,1;+19,2;0993;019,95;0000
11:09:49;000:01;001;0199,1;+20,5;0994;020,03;0000
11:09:49;000:01;002;0199,5;+19,4;0994;020,07;0000
11:19:54;000:01;001;0197,4;+21,5;0994;019,86;0000
11:19:55;000:01;002;0197,8;+20,3;0994;019,90;0000
11:19:55;000:01;003;0195,0;+18,5;0993;019,64;0000
11:19:55;000:01;004;0199,1;+20,5;0992;020,07;0000
11:19:55;000:01;005;0197,7;+21,7;0994;019,88;0000
11:19:55;000:01;006;0198,3;+21,5;0993;019,97;0000
